p2_points_won,p2_trend*server,p1_points_won,game_no*server,p1_place_ge*server,p2_games,elapsed_time,p1_games*server,p2_trend,return_depth_ND,point_no_to_start*server,server,rally_count,point_no_to_start,serve_width_BW,p1_trend,p2_games*server,p2_distance_run,speed_mph,p1_distance_run,point_no,game_no,p2_winner,serve_depth_NCTL,p1_games,past_time,past_time*server,p1_unf_err,last_time,serve_no,set_no*server,p1_trend*server
49,46.0,46,-10.0,-0.0,4,111.66666666666667,-5.0,-46.0,1,-1.0,-1,3.0,1,1,46.0,-4.0,6.78,101.0,9.363,95,10,1.0,1,5,0.6500000000000057,-0.6500000000000057,0.0,1.5666666666666629,1,-2.0,-46.0
49,46.0,47,-10.0,-0.0,4,112.28333333333333,-5.0,-46.0,0,-2.0,-1,9.0,2,0,46.0,-4.0,29.957,119.0,39.751,96,10,1.0,0,5,1.2666666666666657,-1.2666666666666657,0.0,0.6500000000000057,2,-2.0,-46.0
50,47.0,47,-10.0,-0.0,4,113.1,-5.0,-47.0,1,-3.0,-1,6.0,3,0,47.0,-4.0,17.068,111.0,18.579,97,10,0.0,1,5,2.0833333333333286,-2.0833333333333286,0.0,0.61666666666666,1,-2.0,-47.0
51,47.0,47,-10.0,-0.0,4,114.58333333333333,-5.0,-47.0,1,-4.0,-1,1.0,4,0,47.0,-4.0,3.826,125.0,5.043,98,10,0.0,0,5,3.566666666666663,-3.566666666666663,0.0,0.8166666666666629,1,-2.0,-47.0
51,-47.0,48,11.0,0.0,5,115.2,5.0,-47.0,1,0.0,1,1.0,0,0,47.0,5.0,0.853,116.0,1.002,99,11,1.0,0,5,0.0,0.0,0.0,1.4833333333333343,2,2.0,47.0
51,-48.0,49,11.0,1.0,5,116.11666666666666,5.0,-48.0,1,1.0,1,5.0,1,0,48.0,5.0,22.473,99.0,24.8,100,11,0.0,1,5,0.9166666666666572,0.9166666666666572,0.0,0.6166666666666742,1,2.0,48.0
51,-49.0,50,11.0,1.0,5,116.46666666666667,5.0,-49.0,1,2.0,1,1.0,2,0,49.0,5.0,5.41,131.0,4.948,101,11,0.0,0,5,1.2666666666666657,1.2666666666666657,0.0,0.9166666666666572,1,2.0,49.0
51,-50.0,51,11.0,1.0,5,116.9,5.0,-50.0,1,3.0,1,3.0,3,0,50.0,5.0,10.438,124.0,6.38,102,11,0.0,0,5,1.7000000000000028,1.7000000000000028,0.0,0.3500000000000085,1,2.0,50.0
52,51.0,51,-12.0,-0.0,5,118.53333333333333,-6.0,-51.0,1,-0.0,-1,1.0,0,0,51.0,-5.0,6.32,127.0,4.012,103,12,0.0,1,6,0.0,-0.0,0.0,0.4333333333333371,1,-2.0,-51.0
52,51.0,52,-12.0,-0.0,5,119.05,-6.0,-51.0,0,-1.0,-1,5.0,1,0,51.0,-5.0,22.141,110.0,29.782,104,12,0.0,0,6,0.5166666666666657,-0.5166666666666657,0.0,1.6333333333333258,1,-2.0,-51.0
53,52.0,52,-12.0,-0.0,5,119.53333333333333,-6.0,-52.0,1,-2.0,-1,2.0,2,1,52.0,-5.0,5.158,119.0,10.813,105,12,0.0,1,6,1.0,-1.0,0.0,0.5166666666666657,1,-2.0,-52.0
54,52.0,52,-12.0,-0.0,5,120.26666666666667,-6.0,-52.0,0,-3.0,-1,3.0,3,0,52.0,-5.0,8.246,113.0,13.262,106,12,0.0,0,6,1.7333333333333343,-1.7333333333333343,1.0,0.4833333333333343,1,-2.0,-52.0
55,52.0,52,-12.0,-0.0,5,120.78333333333333,-6.0,-52.0,0,-4.0,-1,3.0,4,0,52.0,-5.0,8.672,117.0,11.803,107,12,0.0,1,6,2.25,-2.25,1.0,0.7333333333333343,1,-2.0,-52.0
55,-52.0,53,13.0,0.0,6,121.68333333333334,6.0,-52.0,0,0.0,1,3.0,0,0,52.0,6.0,5.163,117.0,6.848,108,13,1.0,1,6,0.0,0.0,0.0,0.5166666666666657,1,2.0,52.0
56,53.0,53,-13.0,-1.0,6,122.4,-6.0,-53.0,1,-1.0,-1,5.0,1,1,53.0,-6.0,19.978,126.0,16.204,109,13,0.0,1,6,0.7166666666666686,-0.7166666666666686,0.0,0.9000000000000057,1,-2.0,-53.0
57,53.0,53,-13.0,-0.0,6,122.96666666666667,-6.0,-53.0,0,-2.0,-1,3.0,2,0,53.0,-6.0,12.727,124.0,14.152,110,13,0.0,1,6,1.2833333333333314,-1.2833333333333314,0.0,0.7166666666666686,1,-2.0,-53.0
58,-53.0,53,13.0,0.0,6,123.5,6.0,-53.0,1,3.0,1,1.0,3,0,53.0,6.0,5.452,125.0,6.819,111,13,0.0,1,6,1.8166666666666629,1.8166666666666629,0.0,0.5666666666666629,2,2.0,53.0
58,-53.0,54,13.0,0.0,6,124.91666666666667,6.0,-53.0,1,4.0,1,18.0,4,1,53.0,6.0,73.829,81.0,66.158,112,13,0.0,1,6,3.2333333333333343,3.2333333333333343,0.0,0.5333333333333314,1,2.0,53.0
59,54.0,54,-13.0,-0.0,6,125.55,-6.0,-54.0,1,-5.0,-1,1.0,5,0,54.0,-6.0,0.886,134.0,0.786,113,13,0.0,1,6,3.86666666666666,-3.86666666666666,0.0,1.4166666666666714,1,-2.0,-54.0
60,54.0,54,-13.0,-0.0,6,126.65,-6.0,-54.0,1,-6.0,-1,1.0,6,0,54.0,-6.0,0.691,124.0,1.766,114,13,1.0,0,6,4.966666666666669,-4.966666666666669,0.0,0.6333333333333258,1,-2.0,-54.0
60,-54.0,55,13.0,0.0,6,127.21666666666667,6.0,-54.0,1,7.0,1,1.0,7,0,54.0,6.0,9.456,119.0,9.438,115,13,0.0,1,6,5.533333333333331,5.533333333333331,0.0,1.1000000000000085,1,2.0,54.0
60,-55.0,56,13.0,0.0,6,127.75,6.0,-55.0,1,8.0,1,3.0,8,0,55.0,6.0,13.896,127.0,13.647,116,13,0.0,0,6,6.066666666666663,6.066666666666663,0.0,0.5666666666666629,1,2.0,55.0
61,56.0,56,-13.0,-0.0,6,128.4,-6.0,-56.0,0,-9.0,-1,1.0,9,0,56.0,-6.0,5.984,130.0,6.443,117,13,0.0,1,6,6.716666666666669,-6.716666666666669,0.0,0.5333333333333314,1,-2.0,-56.0
62,56.0,56,-13.0,-0.0,6,128.98333333333332,-6.0,-56.0,1,-10.0,-1,3.0,10,0,56.0,-6.0,12.259,125.0,16.192,118,13,0.0,1,6,7.299999999999983,-7.299999999999983,0.0,0.6500000000000057,1,-2.0,-56.0
63,56.0,56,-1.0,-0.0,0,131.41666666666666,-0.0,-56.0,1,-0.0,-1,1.0,0,0,56.0,-0.0,0.722,130.0,0.976,119,1,1.0,1,0,0.0,-0.0,0.0,0.5833333333333144,1,-3.0,-56.0
64,56.0,56,-1.0,-0.0,0,131.76666666666668,-0.0,-56.0,0,-1.0,-1,1.0,1,0,56.0,-0.0,3.616,109.0,6.135,120,1,0.0,0,0,0.35000000000002274,-0.35000000000002274,0.0,2.433333333333337,2,-3.0,-56.0
65,56.0,56,-1.0,-0.0,0,132.33333333333334,-0.0,-56.0,0,-2.0,-1,1.0,2,0,56.0,-0.0,4.801,102.0,6.506,121,1,0.0,1,0,0.9166666666666856,-0.9166666666666856,1.0,0.35000000000002274,1,-3.0,-56.0
65,56.0,57,-1.0,-0.0,0,132.98333333333332,-0.0,-56.0,1,-3.0,-1,5.0,3,1,56.0,-0.0,30.827,113.0,31.363,122,1,0.0,1,0,1.5666666666666629,-1.5666666666666629,0.0,0.5666666666666629,1,-3.0,-56.0
65,57.0,58,-1.0,-0.0,0,133.75,-0.0,-57.0,1,-4.0,-1,12.0,4,0,57.0,-0.0,40.318,119.0,50.761,123,1,0.0,0,0,2.333333333333343,-2.333333333333343,0.0,0.6499999999999773,1,-3.0,-57.0
66,58.0,58,-1.0,-0.0,0,134.63333333333333,-0.0,-58.0,1,-5.0,-1,2.0,5,0,58.0,-0.0,5.137,131.0,8.018,124,1,0.0,1,0,3.2166666666666686,-3.2166666666666686,0.0,0.7666666666666799,1,-3.0,-58.0
67,-58.0,58,2.0,0.0,1,135.6,0.0,-58.0,1,0.0,1,1.0,0,0,58.0,1.0,4.443,125.0,11.14,125,2,0.0,0,0,0.0,0.0,0.0,0.8833333333333258,1,3.0,58.0
67,-58.0,59,2.0,0.0,1,135.96666666666667,0.0,-58.0,0,1.0,1,2.0,1,0,58.0,1.0,8.154,125.0,9.132,126,2,0.0,0,0,0.36666666666667425,0.36666666666667425,1.0,0.9666666666666686,1,3.0,58.0
67,-59.0,60,2.0,0.0,1,136.36666666666667,0.0,-59.0,0,2.0,1,1.0,2,0,59.0,1.0,3.612,132.0,2.773,127,2,0.0,1,0,0.7666666666666799,0.7666666666666799,0.0,0.36666666666667425,1,3.0,59.0
67,-60.0,61,2.0,1.0,1,136.83333333333334,0.0,-60.0,0,3.0,1,1.0,3,0,60.0,1.0,0.822,131.0,0.702,128,2,0.0,1,0,1.2333333333333485,1.2333333333333485,0.0,0.4000000000000057,1,3.0,60.0
67,-61.0,62,2.0,1.0,1,137.36666666666667,0.0,-61.0,1,4.0,1,5.0,4,1,61.0,1.0,19.114,122.0,13.685,129,2,0.0,1,0,1.76666666666668,1.76666666666668,0.0,0.46666666666666856,2,3.0,61.0
67,62.0,63,-3.0,-0.0,1,138.6,-1.0,-62.0,1,-0.0,-1,9.0,0,0,62.0,-1.0,35.83,98.0,37.197,130,3,0.0,1,1,0.0,-0.0,0.0,0.5333333333333314,2,-3.0,-62.0
67,63.0,64,-3.0,-1.0,1,140.06666666666666,-1.0,-63.0,0,-1.0,-1,4.0,1,1,63.0,-1.0,11.106,107.0,15.077,131,3,0.0,1,1,1.4666666666666686,-1.4666666666666686,0.0,1.23333333333332,1,-3.0,-63.0
68,64.0,64,-3.0,-1.0,1,140.68333333333334,-1.0,-64.0,0,-2.0,-1,4.0,2,0,64.0,-1.0,18.425,124.0,23.362,132,3,0.0,1,1,2.083333333333343,-2.083333333333343,0.0,1.4666666666666686,1,-3.0,-64.0
69,64.0,64,-3.0,-1.0,1,141.1,-1.0,-64.0,0,-3.0,-1,1.0,3,0,64.0,-1.0,0.657,127.0,0.66,133,3,1.0,1,1,2.5,-2.5,0.0,0.6166666666666742,1,-3.0,-64.0
70,64.0,64,-3.0,-0.0,1,141.95,-1.0,-64.0,1,-4.0,-1,13.0,4,0,64.0,-1.0,50.677,127.0,49.653,134,3,0.0,0,1,3.3499999999999943,-3.3499999999999943,1.0,0.4166666666666572,2,-3.0,-64.0
71,64.0,64,-3.0,-0.0,1,142.68333333333334,-1.0,-64.0,1,-5.0,-1,1.0,5,0,64.0,-1.0,3.215,106.0,4.963,135,3,0.0,1,1,4.083333333333343,-4.083333333333343,1.0,0.8499999999999943,1,-3.0,-64.0
71,-64.0,65,4.0,0.0,2,144.88333333333333,1.0,-64.0,0,0.0,1,5.0,0,0,64.0,2.0,16.057,127.0,26.462,136,4,1.0,0,1,0.0,0.0,0.0,0.7333333333333485,1,3.0,64.0
72,-65.0,65,4.0,1.0,2,145.23333333333332,1.0,-65.0,0,1.0,1,1.0,1,0,65.0,2.0,3.979,131.0,5.829,137,4,0.0,1,1,0.3499999999999943,0.3499999999999943,0.0,2.1999999999999886,2,3.0,65.0
72,-65.0,66,4.0,0.0,2,145.9,1.0,-65.0,1,2.0,1,4.0,2,0,65.0,2.0,22.079,101.0,13.754,138,4,1.0,1,1,1.01666666666668,1.01666666666668,0.0,0.3499999999999943,1,3.0,65.0
72,-66.0,67,4.0,1.0,2,146.26666666666668,1.0,-66.0,1,3.0,1,1.0,3,0,66.0,2.0,1.063,119.0,0.958,139,4,0.0,0,1,1.3833333333333542,1.3833333333333542,0.0,0.6666666666666856,1,3.0,66.0
72,-67.0,68,4.0,1.0,2,146.65,1.0,-67.0,0,4.0,1,1.0,4,0,67.0,2.0,5.083,128.0,6.876,140,4,0.0,0,1,1.76666666666668,1.76666666666668,0.0,0.36666666666667425,1,3.0,67.0
73,68.0,68,-5.0,-0.0,2,147.3,-2.0,-68.0,1,-0.0,-1,1.0,0,0,68.0,-2.0,6.675,131.0,5.246,141,5,0.0,1,2,0.0,-0.0,0.0,0.38333333333332575,2,-3.0,-68.0
74,68.0,68,-5.0,-0.0,2,148.06666666666666,-2.0,-68.0,0,-1.0,-1,5.0,1,1,68.0,-2.0,20.511,110.0,33.09,142,5,0.0,0,2,0.7666666666666515,-0.7666666666666515,0.0,0.6500000000000057,2,-3.0,-68.0
74,68.0,69,-5.0,-0.0,2,148.76666666666668,-2.0,-68.0,1,-2.0,-1,3.0,2,0,68.0,-2.0,14.975,104.0,19.391,143,5,0.0,1,2,1.4666666666666686,-1.4666666666666686,1.0,0.7666666666666515,1,-3.0,-68.0
75,69.0,69,-5.0,-0.0,2,149.51666666666668,-2.0,-69.0,0,-3.0,-1,10.0,3,1,69.0,-2.0,30.958,118.0,38.597,144,5,0.0,1,2,2.2166666666666686,-2.2166666666666686,0.0,0.700000000000017,1,-3.0,-69.0
76,69.0,69,-5.0,-0.0,2,149.93333333333334,-2.0,-69.0,0,-4.0,-1,1.0,4,0,69.0,-2.0,4.72,128.0,9.673,145,5,0.0,1,2,2.6333333333333258,-2.6333333333333258,0.0,0.75,1,-3.0,-69.0
76,-69.0,70,6.0,0.0,3,151.65,2.0,-69.0,0,0.0,1,1.0,0,0,69.0,3.0,1.043,135.0,1.47,146,6,0.0,0,2,0.0,0.0,0.0,0.4166666666666572,1,3.0,69.0
76,-70.0,71,6.0,1.0,3,151.95,2.0,-70.0,0,1.0,1,1.0,1,0,70.0,3.0,0.96,121.0,0.881,147,6,0.0,0,2,0.29999999999998295,0.29999999999998295,0.0,1.7166666666666686,1,3.0,70.0
76,-71.0,72,6.0,1.0,3,152.21666666666667,2.0,-71.0,0,2.0,1,1.0,2,0,71.0,3.0,0.873,123.0,0.74,148,6,0.0,1,2,0.5666666666666629,0.5666666666666629,0.0,0.29999999999998295,1,3.0,71.0
76,-72.0,73,6.0,1.0,3,152.61666666666667,2.0,-72.0,1,3.0,1,3.0,3,0,72.0,3.0,11.851,133.0,11.758,149,6,0.0,1,2,0.9666666666666686,0.9666666666666686,0.0,0.26666666666667993,1,3.0,72.0
76,73.0,74,-7.0,-0.0,3,153.38333333333333,-3.0,-73.0,1,-0.0,-1,3.0,0,0,73.0,-3.0,13.791,125.0,10.704,150,7,0.0,0,3,0.0,-0.0,0.0,0.4000000000000057,1,-3.0,-73.0
77,74.0,74,-7.0,-1.0,3,153.88333333333333,-3.0,-74.0,1,-1.0,-1,4.0,1,0,74.0,-3.0,15.392,130.0,14.698,151,7,0.0,0,3,0.5,-0.5,0.0,0.7666666666666515,1,-3.0,-74.0
78,74.0,74,-7.0,-0.0,3,155.03333333333333,-3.0,-74.0,0,-2.0,-1,17.0,2,0,74.0,-3.0,70.48,127.0,79.474,152,7,0.0,0,3,1.6500000000000057,-1.6500000000000057,0.0,0.5,1,-3.0,-74.0
79,74.0,74,-7.0,-0.0,3,155.45,-3.0,-74.0,0,-3.0,-1,1.0,3,0,74.0,-3.0,0.85,128.0,1.035,153,7,1.0,1,3,2.066666666666663,-2.066666666666663,0.0,1.1500000000000057,1,-3.0,-74.0
79,74.0,75,-7.0,-0.0,3,155.86666666666667,-3.0,-74.0,0,-4.0,-1,1.0,4,0,74.0,-3.0,0.613,127.0,0.801,154,7,1.0,0,3,2.4833333333333485,-2.4833333333333485,0.0,0.4166666666666572,1,-3.0,-74.0
79,75.0,76,-7.0,-0.0,3,156.45,-3.0,-75.0,1,-5.0,-1,4.0,5,0,75.0,-3.0,14.301,118.0,22.441,155,7,0.0,1,3,3.066666666666663,-3.066666666666663,0.0,0.4166666666666856,2,-3.0,-75.0
80,76.0,76,-7.0,-0.0,3,157.3,-3.0,-76.0,1,-6.0,-1,6.0,6,0,76.0,-3.0,19.529,101.0,20.444,156,7,0.0,1,3,3.9166666666666856,-3.9166666666666856,0.0,0.5833333333333144,1,-3.0,-76.0
81,76.0,76,-7.0,-1.0,3,157.75,-3.0,-76.0,0,-7.0,-1,1.0,7,0,76.0,-3.0,5.974,130.0,8.014,157,7,0.0,1,3,4.366666666666674,-4.366666666666674,0.0,0.8500000000000227,1,-3.0,-76.0
82,-76.0,76,8.0,0.0,4,159.53333333333333,3.0,-76.0,0,0.0,1,1.0,0,0,76.0,4.0,0.889,125.0,1.464,158,8,1.0,0,3,0.0,0.0,0.0,0.44999999999998863,1,3.0,76.0
83,-76.0,76,8.0,0.0,4,160.06666666666666,3.0,-76.0,1,1.0,1,6.0,1,0,76.0,4.0,16.369,130.0,18.445,159,8,0.0,1,3,0.5333333333333314,0.5333333333333314,0.0,1.7833333333333314,1,3.0,76.0
84,-76.0,76,8.0,0.0,4,160.71666666666667,3.0,-76.0,0,2.0,1,4.0,2,0,76.0,4.0,16.572,130.0,15.093,160,8,0.0,1,3,1.1833333333333371,1.1833333333333371,1.0,0.5333333333333314,1,3.0,76.0
84,-76.0,77,8.0,0.0,4,161.28333333333333,3.0,-76.0,1,3.0,1,2.0,3,0,76.0,4.0,15.432,131.0,14.706,161,8,0.0,0,3,1.75,1.75,1.0,0.6500000000000057,2,3.0,76.0
84,-77.0,78,8.0,0.0,4,162.21666666666667,3.0,-77.0,1,4.0,1,5.0,4,0,77.0,4.0,22.122,83.0,20.958,162,8,0.0,1,3,2.683333333333337,2.683333333333337,0.0,0.5666666666666629,1,3.0,77.0
84,-78.0,79,8.0,0.0,4,163.01666666666668,3.0,-78.0,0,5.0,1,7.0,5,0,78.0,4.0,31.309,121.0,28.195,163,8,0.0,0,3,3.4833333333333485,3.4833333333333485,0.0,0.9333333333333371,2,3.0,78.0
85,-79.0,79,8.0,0.0,4,163.96666666666667,3.0,-79.0,0,6.0,1,1.0,6,0,79.0,4.0,4.422,106.0,4.692,164,8,0.0,1,3,4.433333333333337,4.433333333333337,0.0,0.8000000000000114,1,3.0,79.0
85,-79.0,80,8.0,1.0,4,164.98333333333332,3.0,-79.0,1,7.0,1,4.0,7,0,79.0,4.0,12.763,130.0,15.274,165,8,1.0,1,3,5.449999999999989,5.449999999999989,0.0,0.9499999999999886,1,3.0,79.0
85,-80.0,81,8.0,0.0,4,165.61666666666667,3.0,-80.0,1,8.0,1,3.0,8,0,80.0,4.0,11.049,101.0,14.888,166,8,0.0,1,3,6.083333333333343,6.083333333333343,0.0,1.0166666666666515,1,3.0,80.0
85,-81.0,82,8.0,1.0,4,166.16666666666666,3.0,-81.0,0,9.0,1,1.0,9,0,81.0,4.0,9.01,114.0,11.838,167,8,0.0,0,3,6.633333333333326,6.633333333333326,0.0,0.6333333333333542,2,3.0,81.0
85,82.0,83,-9.0,-0.0,4,167.31666666666666,-4.0,-82.0,0,-0.0,-1,5.0,0,0,82.0,-4.0,22.784,106.0,19.382,168,9,0.0,1,4,0.0,-0.0,0.0,0.549999999999983,2,-3.0,-82.0
86,83.0,83,-9.0,-1.0,4,168.35,-4.0,-83.0,1,-1.0,-1,12.0,1,0,83.0,-4.0,41.282,101.0,64.2,169,9,0.0,1,4,1.0333333333333314,-1.0333333333333314,0.0,1.1500000000000057,1,-3.0,-83.0
87,83.0,83,-9.0,-0.0,4,168.81666666666666,-4.0,-83.0,0,-2.0,-1,1.0,2,0,83.0,-4.0,4.338,118.0,6.278,170,9,0.0,0,4,1.5,-1.5,0.0,1.0333333333333314,1,-3.0,-83.0
88,83.0,83,-9.0,-0.0,4,169.25,-4.0,-83.0,1,-3.0,-1,1.0,3,0,83.0,-4.0,3.326,115.0,9.96,171,9,0.0,0,4,1.9333333333333371,-1.9333333333333371,0.0,0.46666666666666856,1,-3.0,-83.0
88,83.0,84,-9.0,-0.0,4,169.66666666666666,-4.0,-83.0,1,-4.0,-1,1.0,4,0,83.0,-4.0,6.654,118.0,9.208,172,9,1.0,1,4,2.3499999999999943,-2.3499999999999943,0.0,0.4333333333333371,1,-3.0,-83.0
88,84.0,85,-9.0,-0.0,4,170.25,-4.0,-84.0,1,-5.0,-1,4.0,5,0,84.0,-4.0,16.158,123.0,20.416,173,9,0.0,1,4,2.933333333333337,-2.933333333333337,0.0,0.4166666666666572,2,-3.0,-84.0
89,85.0,85,-9.0,-0.0,4,171.21666666666667,-4.0,-85.0,1,-6.0,-1,6.0,6,0,85.0,-4.0,23.523,90.0,23.829,174,9,0.0,1,4,3.9000000000000057,-3.9000000000000057,0.0,0.5833333333333428,1,-3.0,-85.0
90,85.0,85,-9.0,-1.0,4,172.08333333333334,-4.0,-85.0,1,-7.0,-1,11.0,7,0,85.0,-4.0,40.595,116.0,58.44,175,9,0.0,1,4,4.76666666666668,-4.76666666666668,0.0,0.9666666666666686,2,-3.0,-85.0
90,-85.0,86,10.0,0.0,5,174.3,4.0,-85.0,0,0.0,1,11.0,0,0,85.0,5.0,38.203,97.0,41.411,176,10,1.0,1,4,0.0,0.0,0.0,0.8666666666666742,1,3.0,85.0
90,-86.0,87,10.0,1.0,5,174.65,4.0,-86.0,0,1.0,1,1.0,1,0,86.0,5.0,5.454,129.0,5.248,177,10,0.0,0,4,0.3499999999999943,0.3499999999999943,0.0,2.2166666666666686,2,3.0,86.0
90,-87.0,88,10.0,1.0,5,175.43333333333334,4.0,-87.0,1,2.0,1,5.0,2,1,87.0,5.0,16.909,91.0,12.991,178,10,0.0,0,4,1.1333333333333258,1.1333333333333258,0.0,0.3499999999999943,1,3.0,87.0
90,-88.0,89,10.0,1.0,5,175.93333333333334,4.0,-88.0,0,3.0,1,3.0,3,0,88.0,5.0,19.121,119.0,13.642,179,10,0.0,0,4,1.6333333333333258,1.6333333333333258,0.0,0.7833333333333314,1,3.0,88.0
91,89.0,89,-11.0,-0.0,5,176.7,-5.0,-89.0,1,-0.0,-1,3.0,0,0,89.0,-5.0,14.575,128.0,15.622,180,11,0.0,1,5,0.0,-0.0,0.0,0.5,1,-3.0,-89.0
92,89.0,89,-11.0,-0.0,5,177.13333333333333,-5.0,-89.0,1,-1.0,-1,3.0,1,0,89.0,-5.0,9.206,128.0,11.35,181,11,1.0,1,5,0.4333333333333371,-0.4333333333333371,0.0,0.7666666666666515,2,-3.0,-89.0
92,89.0,90,-11.0,-0.0,5,177.96666666666667,-5.0,-89.0,1,-2.0,-1,7.0,2,0,89.0,-5.0,24.991,108.0,32.225,182,11,0.0,1,5,1.26666666666668,-1.26666666666668,0.0,0.4333333333333371,2,-3.0,-89.0
93,90.0,90,-11.0,-0.0,5,178.65,-5.0,-90.0,0,-3.0,-1,2.0,3,0,90.0,-5.0,8.936,106.0,12.981,183,11,0.0,1,5,1.950000000000017,-1.950000000000017,0.0,0.8333333333333428,1,-3.0,-90.0
94,90.0,90,-11.0,-0.0,5,179.11666666666667,-5.0,-90.0,0,-4.0,-1,1.0,4,0,90.0,-5.0,0.795,122.0,1.056,184,11,1.0,0,5,2.4166666666666856,-2.4166666666666856,0.0,0.6833333333333371,1,-3.0,-90.0
94,-90.0,91,12.0,0.0,6,181.21666666666667,5.0,-90.0,1,0.0,1,11.0,0,1,90.0,6.0,39.811,115.0,45.426,185,12,0.0,1,5,0.0,0.0,1.0,0.46666666666666856,1,3.0,90.0
94,-91.0,92,12.0,1.0,6,181.7,5.0,-91.0,1,1.0,1,3.0,1,0,91.0,6.0,13.39,132.0,13.532,186,12,0.0,1,5,0.48333333333332007,0.48333333333332007,0.0,2.0999999999999943,1,3.0,91.0
95,-92.0,92,12.0,1.0,6,182.15,5.0,-92.0,1,2.0,1,1.0,2,0,92.0,6.0,1.07,128.0,0.923,187,12,0.0,0,5,0.9333333333333371,0.9333333333333371,0.0,0.48333333333332007,1,3.0,92.0
95,-92.0,93,12.0,1.0,6,182.68333333333334,5.0,-92.0,1,3.0,1,4.0,3,0,92.0,6.0,19.63,122.0,18.217,188,12,0.0,0,5,1.4666666666666686,1.4666666666666686,0.0,0.45000000000001705,1,3.0,92.0
95,-93.0,94,12.0,1.0,6,183.1,5.0,-93.0,1,4.0,1,1.0,4,0,93.0,6.0,2.802,128.0,2.195,189,12,0.0,1,5,1.8833333333333258,1.8833333333333258,0.0,0.5333333333333314,2,3.0,93.0
95,94.0,95,-13.0,-0.0,6,184.15,-6.0,-94.0,0,-0.0,-1,1.0,0,0,94.0,-6.0,8.936,99.0,10.495,190,13,0.0,1,6,0.0,-0.0,0.0,0.4166666666666572,2,-3.0,-94.0
96,-95.0,95,13.0,1.0,6,185.98333333333332,6.0,-95.0,0,1.0,1,18.0,1,0,95.0,6.0,66.82,109.0,66.76,191,13,0.0,1,6,1.8333333333333144,1.8333333333333144,0.0,1.0500000000000114,1,3.0,95.0
97,-95.0,95,13.0,0.0,6,186.46666666666667,6.0,-95.0,1,2.0,1,2.0,2,0,95.0,6.0,7.758,125.0,6.961,192,13,0.0,1,6,2.316666666666663,2.316666666666663,1.0,1.8333333333333144,1,3.0,95.0
97,95.0,96,-13.0,-0.0,6,187.15,-6.0,-95.0,1,-3.0,-1,2.0,3,0,95.0,-6.0,6.976,131.0,11.808,193,13,0.0,0,6,3.0,-3.0,1.0,0.4833333333333485,2,-3.0,-95.0
98,96.0,96,-13.0,-0.0,6,187.93333333333334,-6.0,-96.0,1,-4.0,-1,0.0,4,0,96.0,-6.0,2.377,131.0,3.906,194,13,0.0,0,6,3.7833333333333314,-3.7833333333333314,0.0,0.6833333333333371,1,-3.0,-96.0
98,-96.0,97,13.0,0.0,6,188.41666666666666,6.0,-96.0,1,5.0,1,1.0,5,0,96.0,6.0,3.903,130.0,5.21,195,13,0.0,1,6,4.2666666666666515,4.2666666666666515,0.0,0.7833333333333314,1,3.0,96.0
99,-97.0,97,13.0,0.0,6,189.45,6.0,-97.0,1,6.0,1,1.0,6,0,97.0,6.0,4.33,127.0,2.556,196,13,0.0,1,6,5.299999999999983,5.299999999999983,0.0,0.48333333333332007,1,3.0,97.0
100,97.0,97,-13.0,-0.0,6,190.86666666666667,-6.0,-97.0,0,-7.0,-1,24.0,7,0,97.0,-6.0,88.484,124.0,83.959,197,13,0.0,1,6,6.716666666666669,-6.716666666666669,1.0,1.0333333333333314,1,-3.0,-97.0
101,97.0,97,-13.0,-0.0,6,191.51666666666668,-6.0,-97.0,1,-8.0,-1,3.0,8,0,97.0,-6.0,5.706,130.0,8.535,198,13,1.0,1,6,7.366666666666674,-7.366666666666674,0.0,1.4166666666666856,1,-3.0,-97.0
101,-97.0,98,13.0,0.0,6,192.08333333333334,6.0,-97.0,0,9.0,1,1.0,9,0,97.0,6.0,5.013,115.0,5.539,199,13,0.0,0,6,7.933333333333337,7.933333333333337,0.0,0.6500000000000057,1,3.0,97.0
101,-98.0,99,13.0,0.0,6,192.73333333333332,6.0,-98.0,0,10.0,1,1.0,10,0,98.0,6.0,2.931,125.0,2.755,200,13,0.0,0,6,8.583333333333314,8.583333333333314,0.0,0.5666666666666629,1,3.0,98.0
102,99.0,99,-13.0,-0.0,6,193.53333333333333,-6.0,-99.0,1,-11.0,-1,3.0,11,0,99.0,-6.0,15.288,131.0,15.573,201,13,0.0,1,6,9.383333333333326,-9.383333333333326,0.0,0.6499999999999773,1,-3.0,-99.0
0,-0.0,1,-1.0,-0.0,0,0.0,-0.0,0.0,1,-0.0,-1,2.0,0,0,0.0,-0.0,6.36,99.0,8.929,1,1,0.0,1,0,0.0,-0.0,0.0,0.0,2,-1.0,-0.0
1,1.0,1,-1.0,-1.0,0,0.55,-0.0,-1.0,1,-1.0,-1,2.0,1,0,1.0,-0.0,6.36,99.0,8.929,2,1,0.0,1,0,0.55,-0.55,0.0,0.0,2,-1.0,-1.0
2,1.0,1,-1.0,-0.0,0,1.0666666666666667,-0.0,-1.0,0,-2.0,-1,1.0,2,0,1.0,-0.0,5.892,103.0,5.196,3,1,0.0,1,0,1.0666666666666667,-1.0666666666666667,0.0,0.55,1,-1.0,-1.0
