p2_points_won,p2_trend*server,p1_points_won,game_no*server,p1_place_ge*server,p2_games,elapsed_time,p1_games*server,p2_trend,return_depth_ND,point_no_to_start*server,server,rally_count,point_no_to_start,serve_width_BW,p1_trend,p2_games*server,p2_distance_run,speed_mph,p1_distance_run,point_no,game_no,p2_winner,serve_depth_NCTL,p1_games,past_time,past_time*server,p1_unf_err,last_time,serve_no,set_no*server,p1_trend*server,factor
26,-22,23,8,1,5,31.46666667,2,-22,1,2,1,1,2,0,22,5,3.549,100,2.698,49,8,0,1,2,1.1,1.1,0,0.583333333,1,1,22,1.911543
27,-23,23,8,1,5,31.85,2,-23,0,3,1,3,3,1,23,5,14.44,115,10.548,50,8,0,1,2,1.483333333,1.483333333,0,0.516666667,2,1,23,-3.676156
27,-23,24,8,1,5,32.38333333,2,-23,0,4,1,0,4,0,23,5,3.097,115,2.264,51,8,0,0,2,2.016666667,2.016666667,1,0.383333333,1,1,23,2.832612
28,-24,24,9,0,5,33.11666667,3,-24,0,0,1,1,0,0,24,5,7.914,125,7.313,52,9,0,1,3,0,0,0,0.533333333,2,1,24,-4.506228
29,-24,24,9,0,5,33.81666667,3,-24,1,1,1,7,1,0,24,5,17.164,105,18.792,53,9,1,1,3,0.7,0.7,0,0.733333333,2,1,24,-0.389271
30,-24,24,9,0,5,34.36666667,3,-24,1,2,1,1,2,0,24,5,1.418,105,0.953,54,9,1,1,3,1.25,1.25,0,0.7,2,1,24,-3.391994
30,-24,25,9,0,5,34.91666667,3,-24,1,3,1,3,3,0,24,5,7.448,104,7.922,55,9,0,1,3,1.8,1.8,0,0.55,2,1,24,1.721611
31,-25,25,9,0,5,35.43333333,3,-25,1,4,1,0,4,0,25,5,1.409,104,2.114,56,9,0,0,3,2.316666667,2.316666667,0,0.55,1,1,25,-5.020988
31,-25,26,1,0,0,37.55,0,-25,1,0,1,1,0,0,25,0,0.626,125,0.775,57,1,1,1,0,0,0,0,0.516666667,1,2,25,1.488125
32,-26,26,1,1,0,37.86666667,0,-26,1,1,1,1,1,0,26,0,0.761,129,0.525,58,1,0,1,0,0.316666667,0.316666667,0,2.116666667,2,2,26,-1.694539
32,-26,27,1,0,0,38.35,0,-26,1,2,1,0,2,0,26,0,2.878,129,2.526,59,1,0,0,0,0.8,0.8,1,0.316666667,1,2,26,2.820336
33,-27,27,1,1,0,38.73333333,0,-27,1,3,1,1,3,0,27,0,1.085,125,0.85,60,1,0,1,0,1.183333333,1.183333333,0,0.483333333,2,2,27,-0.963627
33,-27,28,1,0,0,39.35,0,-27,1,4,1,2,4,0,27,0,8.672,96,6.943,61,1,0,1,0,1.8,1.8,1,0.383333333,1,2,27,3.06553
33,-28,29,1,1,0,40,0,-28,0,5,1,1,5,0,28,0,7.639,118,6.546,62,1,0,0,0,2.45,2.45,0,0.616666667,2,2,28,3.615885
34,-29,29,2,0,0,41.26666667,1,-29,0,0,1,1,0,0,29,0,1.536,104,1.205,63,2,0,1,1,0,0,0,0.65,2,2,29,-1.872853
34,-29,30,2,0,0,41.7,1,-29,0,1,1,1,1,0,29,0,4.313,113,4.52,64,2,0,1,1,0.433333333,0.433333333,0,1.266666667,2,2,29,2.049049
34,-30,31,2,0,0,42.26666667,1,-30,1,2,1,4,2,1,30,0,8.846,101,12.338,65,2,0,1,1,1,1,0,0.433333333,1,2,30,2.153292
35,-31,31,2,1,0,42.7,1,-31,1,3,1,4,3,0,31,0,11.988,116,15.734,66,2,0,0,1,1.433333333,1.433333333,0,0.566666667,2,2,31,-2.883701
35,-31,32,2,0,0,43.53333333,1,-31,1,4,1,3,4,0,31,0,5.521,103,7.973,67,2,1,1,1,2.266666667,2.266666667,0,0.433333333,2,2,31,1.541448
35,-32,33,2,1,0,44.36666667,1,-32,1,5,1,6,5,1,32,0,22.401,108,19.878,68,2,0,1,1,3.1,3.1,0,0.833333333,1,2,32,1.366721
36,-33,33,3,0,0,44.95,2,-33,1,0,1,2,0,1,33,0,3.224,130,4.402,69,3,0,0,2,0,0,0,0.833333333,2,2,33,-2.876292
36,-33,34,3,0,0,46.16666667,2,-33,0,1,1,8,1,0,33,0,38.242,106,44.861,70,3,0,1,2,1.216666667,1.216666667,0,0.583333333,1,2,33,2.07065
36,-34,35,3,0,0,46.61666667,2,-34,1,2,1,3,2,0,34,0,10.482,117,7.351,71,3,0,1,2,1.666666667,1.666666667,0,1.216666667,2,2,34,4.147723
36,-35,36,3,1,0,47.58333333,2,-35,1,3,1,5,3,0,35,0,27.844,112,22.44,72,3,0,0,2,2.633333333,2.633333333,0,0.45,2,2,35,2.127747
37,-36,36,3,1,0,48.58333333,2,-36,0,4,1,5,4,0,36,0,26.466,104,22.583,73,3,0,0,2,3.633333333,3.633333333,0,0.966666667,2,2,36,-1.6128
37,-36,37,3,1,0,49.41666667,2,-36,0,5,1,6,5,0,36,0,23.913,105,22.743,74,3,0,1,2,4.466666667,4.466666667,1,1,1,2,36,2.356435
37,-37,38,4,0,0,50.96666667,3,-37,0,0,1,1,0,0,37,0,4.258,122,4.126,75,4,0,1,3,0,0,0,0.833333333,2,2,37,1.271627
37,-38,39,4,1,0,51.4,3,-38,0,1,1,0,1,0,38,0,3.378,122,3.062,76,4,0,1,3,0.433333333,0.433333333,0,1.55,1,2,38,1.853461
38,-39,39,4,1,0,51.78333333,3,-39,0,2,1,2,2,0,39,0,6.618,122,7.221,77,4,0,1,3,0.816666667,0.816666667,0,0.433333333,1,2,39,-0.599648
39,-39,39,4,1,0,52.08333333,3,-39,0,3,1,1,3,0,39,0,1.157,114,1.546,78,4,1,0,3,1.116666667,1.116666667,0,0.383333333,1,2,39,-4.406114
40,-39,39,4,0,0,52.65,3,-39,0,4,1,5,4,0,39,0,17.555,123,19.092,79,4,0,1,3,1.683333333,1.683333333,1,0.3,2,2,39,-1.386367
41,-39,39,4,0,0,53.61666667,3,-39,0,5,1,11,5,0,39,0,43.008,110,52.436,80,4,1,1,3,2.65,2.65,0,0.566666667,2,2,39,-1.102184
41,-39,40,5,0,1,54.76666667,3,-39,1,0,1,5,0,0,39,1,17.613,103,21.394,81,5,0,1,3,0,0,0,0.966666667,1,2,39,4.879159
41,-40,41,5,1,1,55.31666667,3,-40,1,1,1,5,1,1,40,1,16.583,121,21.78,82,5,0,1,3,0.55,0.55,0,1.15,1,2,40,2.14457
41,-41,42,5,1,1,55.68333333,3,-41,1,2,1,1,2,1,41,1,4.594,123,5.23,83,5,0,1,3,0.916666667,0.916666667,0,0.55,2,2,41,1.708046
41,-42,43,5,1,1,56.31666667,3,-42,0,3,1,3,3,1,42,1,15.209,106,18.269,84,5,0,1,3,1.55,1.55,0,0.366666667,1,2,42,2.661806
42,-43,43,6,0,1,58.06666667,4,-43,1,0,1,3,0,1,43,1,10.662,116,9.432,85,6,0,1,4,0,0,0,0.633333333,1,2,43,-1.624083
42,-43,44,6,0,1,58.31666667,4,-43,1,1,1,1,1,0,43,1,0.664,122,0.72,86,6,1,0,4,0.25,0.25,0,1.75,2,2,43,2.889645
43,-44,44,6,0,1,58.91666667,4,-44,1,2,1,4,2,0,44,1,12.28,95,12.07,87,6,0,1,4,0.85,0.85,0,0.25,2,2,44,-3.760922
44,-44,44,6,0,1,59.66666667,4,-44,1,3,1,7,3,0,44,1,14.488,110,17.444,88,6,1,0,4,1.6,1.6,0,0.6,2,2,44,-4.011876
45,-44,44,6,0,1,60.33333333,4,-44,1,4,1,3,4,0,44,1,16.616,97,14.479,89,6,0,0,4,2.266666667,2.266666667,0,0.75,1,2,44,-1.738888
45,-44,45,7,0,2,60.96666667,4,-44,0,0,1,1,0,0,44,2,3.817,110,5.058,90,7,0,0,4,0,0,0,0.666666667,2,2,44,2.421519
45,-45,46,7,1,2,61.55,4,-45,0,1,1,1,1,1,45,2,4.981,110,5.673,91,7,0,1,4,0.583333333,0.583333333,0,0.633333333,2,2,45,1.81653
45,-46,47,7,1,2,62.06666667,4,-46,0,2,1,1,2,1,46,2,3.301,103,4.129,92,7,0,1,4,1.1,1.1,0,0.583333333,2,2,46,1.940611
45,-47,48,7,1,2,62.95,4,-47,1,3,1,1,3,0,47,2,3.407,103,3.554,93,7,0,1,4,1.983333333,1.983333333,0,0.516666667,1,2,47,3.472867
45,-48,49,8,0,2,64.9,5,-48,1,0,1,3,0,0,48,2,7.684,104,8.081,94,8,0,0,5,0,0,0,0.883333333,2,2,48,1.599616
45,-49,50,8,1,2,65.38333333,5,-49,1,1,1,0,1,0,49,2,1.31,104,1.166,95,8,0,0,5,0.483333333,0.483333333,0,1.95,2,2,49,2.604015
46,-50,50,8,1,2,65.96666667,5,-50,1,2,1,4,2,0,50,2,12.73,107,19.38,96,8,0,1,5,1.066666667,1.066666667,0,0.483333333,1,2,50,-3.916274
46,-50,51,8,1,2,66.41666667,5,-50,1,3,1,3,3,0,50,2,6.834,125,7.793,97,8,1,1,5,1.516666667,1.516666667,0,0.583333333,2,2,50,1.46426
47,-51,51,8,1,2,66.96666667,5,-51,0,4,1,0,4,0,51,2,3.344,125,4.704,98,8,0,0,5,2.066666667,2.066666667,0,0.45,1,2,51,-2.382919
47,-51,52,8,1,2,67.53333333,5,-51,0,5,1,5,5,1,51,2,16.477,124,34.76,99,8,1,1,5,2.633333333,2.633333333,0,0.55,2,2,51,1.130816
48,-52,52,1,0,0,70.01666667,0,-52,0,0,1,2,0,0,52,0,8.793,106,10.999,100,1,0,1,0,0,0,0,0.566666667,2,3,52,1.125011
48,-52,53,1,0,0,70.5,0,-52,0,1,1,0,1,0,52,0,1.615,106,1.404,101,1,0,0,0,0.483333333,0.483333333,1,2.483333333,2,3,52,2.712439
48,-53,54,1,0,0,71.25,0,-53,0,2,1,5,2,0,53,0,16.242,100,20.059,102,1,0,1,0,1.233333333,1.233333333,0,0.483333333,1,3,53,4.090549
49,-54,54,1,1,0,71.6,0,-54,0,3,1,1,3,0,54,0,1.2,115,0.815,103,1,0,0,0,1.583333333,1.583333333,0,0.75,2,3,54,-1.639634
49,-54,55,1,0,0,72.18333333,0,-54,0,4,1,0,4,0,54,0,7.621,115,8.021,104,1,0,0,0,2.166666667,2.166666667,1,0.35,2,3,54,2.087981
49,-55,56,1,1,0,72.78333333,0,-55,1,5,1,3,5,0,55,0,12.842,109,15.102,105,1,0,1,0,2.766666667,2.766666667,0,0.583333333,2,3,55,3.627463
50,-56,56,2,0,0,73.66666667,1,-56,1,0,1,3,0,0,56,0,8.541,105,5.848,106,2,0,0,1,0,0,0,0.6,1,3,56,-3.113573
51,-56,56,2,0,0,73.9,1,-56,1,1,1,1,1,1,56,0,2.094,123,2.795,107,2,0,1,1,0.233333333,0.233333333,0,0.883333333,2,3,56,-2.931812
52,-56,56,2,0,0,74.36666667,1,-56,1,2,1,3,2,0,56,0,5.098,110,9.693,108,2,0,1,1,0.7,0.7,1,0.233333333,1,3,56,-2.492748
53,-56,56,2,0,0,74.63333333,1,-56,1,3,1,1,3,0,56,0,0.923,106,1.187,109,2,1,0,1,0.966666667,0.966666667,0,0.466666667,1,3,56,-3.998245
54,-56,56,3,0,1,75.31666667,1,-56,1,0,1,3,0,1,56,1,8.183,127,11.573,110,3,0,1,1,0,0,0,0.266666667,2,3,56,0.870169
54,-56,57,3,0,1,76.48333333,1,-56,1,1,1,0,1,0,56,1,2.751,127,2.862,111,3,0,1,1,1.166666667,1.166666667,1,0.683333333,1,3,56,3.873911
54,-57,58,3,0,1,76.83333333,1,-57,1,2,1,1,2,0,57,1,1.111,119,1.427,112,3,0,0,1,1.516666667,1.516666667,0,1.166666667,1,3,57,3.242409
54,-58,59,3,1,1,77.16666667,1,-58,1,3,1,1,3,0,58,1,0.511,126,0.856,113,3,0,0,1,1.85,1.85,0,0.35,2,3,58,1.662105
54,-59,60,3,1,1,77.71666667,1,-59,1,4,1,3,4,0,59,1,9.565,94,10.158,114,3,0,1,1,2.4,2.4,0,0.333333333,2,3,59,1.614964
55,-60,60,4,0,1,79.48333333,2,-60,1,0,1,1,0,0,60,1,4.457,97,2.821,115,4,0,1,2,0,0,0,0.55,1,3,60,-3.685414
56,-60,60,4,0,1,79.78333333,2,-60,1,1,1,1,1,0,60,1,6.739,125,6.115,116,4,0,0,2,0.3,0.3,0,1.766666667,1,3,60,-2.959965
57,-60,60,4,0,1,80.08333333,2,-60,1,2,1,1,2,0,60,1,1.42,127,1.261,117,4,0,0,2,0.6,0.6,0,0.3,1,3,60,-1.054217
58,-60,60,4,0,1,80.75,2,-60,0,3,1,9,3,1,60,1,22.578,119,32.616,118,4,0,1,2,1.266666667,1.266666667,0,0.3,2,3,60,-0.754457
58,-60,61,5,0,2,81.48333333,2,-60,0,0,1,1,0,1,60,2,3.685,99,3.151,119,5,0,1,2,0,0,0,0.666666667,2,3,60,2.794872
58,-61,62,5,1,2,82.26666667,2,-61,0,1,1,3,1,0,61,2,8.597,99,10.051,120,5,0,1,2,0.783333333,0.783333333,0,0.733333333,2,3,61,1.122139
58,-62,63,5,1,2,82.76666667,2,-62,1,2,1,1,2,1,62,2,4.395,100,3.053,121,5,0,1,2,1.283333333,1.283333333,0,0.783333333,1,3,62,3.298909
58,-63,64,5,1,2,83.18333333,2,-63,1,3,1,3,3,0,63,2,11.553,110,8.15,122,5,0,0,2,1.7,1.7,0,0.5,2,3,63,1.79788
58,-64,65,6,0,2,84.93333333,3,-64,1,0,1,1,0,0,64,2,4.068,98,3.06,123,6,0,1,3,0,0,0,0.416666667,2,3,64,0.847367
58,-65,66,6,1,2,85.53333333,3,-65,1,1,1,8,1,0,65,2,2.182,98,2.84,124,6,0,0,3,0.6,0.6,0,1.75,2,3,65,0.269897
58,-66,67,6,1,2,86.25,3,-66,1,2,1,4,2,0,66,2,15.359,103,19.782,125,6,0,1,3,1.316666667,1.316666667,0,0.6,1,3,66,-1.01478
59,-67,67,6,1,2,86.7,3,-67,1,3,1,2,3,1,67,2,3.098,115,4.212,126,6,0,1,3,1.766666667,1.766666667,0,0.716666667,1,3,67,-2.435554
60,-67,67,6,1,2,87.26666667,3,-67,0,4,1,5,4,0,67,2,13.772,127,14.227,127,6,0,0,3,2.333333333,2.333333333,1,0.45,1,3,67,-2.260886
60,-67,68,6,1,2,87.66666667,3,-67,0,5,1,1,5,0,67,2,0.975,112,0.951,128,6,1,0,3,2.733333333,2.733333333,0,0.566666667,2,3,67,1.528054
60,-68,69,7,0,2,88.38333333,4,-68,1,0,1,0,0,0,68,2,4.987,112,5.073,129,7,0,0,4,0,0,0,0.4,2,3,68,2.842569
60,-69,70,7,1,2,88.96666667,4,-69,1,1,1,3,1,0,69,2,8.54,106,4.729,130,7,0,1,4,0.583333333,0.583333333,0,0.716666667,1,3,69,3.621171
61,-70,70,7,1,2,89.48333333,4,-70,1,2,1,5,2,0,70,2,14.972,121,16.199,131,7,0,1,4,1.1,1.1,0,0.583333333,1,3,70,0.560046
61,-70,71,7,1,2,89.96666667,4,-70,1,3,1,2,3,1,70,2,9.841,115,11.892,132,7,0,1,4,1.583333333,1.583333333,1,0.516666667,1,3,70,4.585936
61,-71,72,7,1,2,90.53333333,4,-71,1,4,1,7,4,0,71,2,41.895,121,39.86,133,7,0,1,4,2.15,2.15,0,0.483333333,1,3,71,3.966105
62,-72,72,8,0,2,92.06666667,5,-72,0,0,1,1,0,0,72,2,4.576,129,4.381,134,8,0,0,5,0,0,0,0.566666667,2,3,72,-1.832694
63,-72,72,8,0,2,92.61666667,5,-72,1,1,1,3,1,0,72,2,9.778,107,11.126,135,8,0,1,5,0.55,0.55,1,1.533333333,1,3,72,-4.424067
64,-72,72,8,0,2,93.15,5,-72,0,2,1,1,2,0,72,2,6.15,123,6.705,136,8,1,0,5,1.083333333,1.083333333,0,0.55,1,3,72,-1.287513
65,-72,72,8,0,2,93.76666667,5,-72,0,3,1,1,3,1,72,2,3.462,111,4.422,137,8,0,1,5,1.7,1.7,0,0.533333333,1,3,72,-0.683289
65,-72,73,9,0,3,94.75,5,-72,1,0,1,3,0,0,72,3,8.743,124,12.209,138,9,0,1,5,0,0,0,0.616666667,2,3,72,3.674308
65,-73,74,9,1,3,95.25,5,-73,0,1,1,1,1,0,73,3,4.533,109,4.767,139,9,0,0,5,0.5,0.5,0,0.983333333,2,3,73,3.13538
65,-74,75,9,1,3,95.81666667,5,-74,1,2,1,5,2,0,74,3,7.781,88,9.742,140,9,0,1,5,1.066666667,1.066666667,0,0.5,1,3,74,2.227978
66,-75,75,9,1,3,96.21666667,5,-75,0,3,1,1,3,0,75,3,5.743,116,5.689,141,9,0,0,5,1.466666667,1.466666667,0,0.566666667,2,3,75,-2.033266
66,-75,76,9,1,3,96.76666667,5,-75,0,4,1,2,4,1,75,3,8.816,91,8.635,142,9,0,1,5,2.016666667,2.016666667,1,0.4,1,3,75,2.737159
67,-76,76,1,0,0,99.06666667,0,-76,0,0,1,1,0,0,76,0,0.622,111,0.676,143,1,0,0,0,0,0,0,0.55,1,4,76,-1.492458
67,-76,77,1,0,0,99.3,0,-76,0,1,1,1,1,0,76,0,0.905,127,0.644,144,1,1,1,0,0.233333333,0.233333333,0,2.3,2,4,76,-0.40919
68,-77,77,1,0,0,99.86666667,0,-77,0,2,1,0,2,1,77,0,2.03,127,1.594,145,1,0,0,0,0.8,0.8,0,0.233333333,1,4,77,-2.680066
68,-77,78,1,0,0,100.1666667,0,-77,0,3,1,1,3,0,77,0,0.702,125,0.6,146,1,1,1,0,1.1,1.1,0,0.566666667,2,4,77,1.775365
69,-78,78,1,0,0,100.7333333,0,-78,1,4,1,2,4,0,78,0,8.998,100,12.387,147,1,0,1,0,1.666666667,1.666666667,0,0.3,1,4,78,-2.934862
69,-78,79,1,0,0,101.0666667,0,-78,1,5,1,1,5,0,78,0,5.002,129,5.685,148,1,0,1,0,2,2,0,0.566666667,2,4,78,1.383322
69,-79,80,1,0,0,101.8333333,0,-79,1,6,1,2,6,1,79,0,5.34,107,3.973,149,1,0,1,0,2.766666667,2.766666667,0,0.333333333,2,4,79,0.513732
70,-80,80,1,1,0,102.3833333,0,-80,0,7,1,2,7,0,80,0,4.552,114,5.625,150,1,0,1,0,3.316666667,3.316666667,0,0.766666667,2,4,80,-1.43049
71,-80,80,1,0,0,103.15,0,-80,0,8,1,5,8,0,80,0,22.213,119,22.574,151,1,0,1,0,4.083333333,4.083333333,0,0.55,1,4,80,-0.627873
71,-80,81,1,1,0,103.6166667,0,-80,1,9,1,5,9,0,80,0,17.541,118,21.541,152,1,0,0,0,4.55,4.55,1,0.766666667,1,4,80,-0.040084
72,-81,81,1,0,0,104.1833333,0,-81,0,10,1,6,10,1,81,0,19.865,127,21.138,153,1,0,1,0,5.116666667,5.116666667,0,0.466666667,2,4,81,-2.10259
72,-81,82,1,1,0,104.8,0,-81,1,11,1,3,11,0,81,0,5.872,113,7.977,154,1,1,1,0,5.733333333,5.733333333,0,0.566666667,2,4,81,2.216156
73,-82,82,1,0,0,105.7,0,-82,1,12,1,6,12,0,82,0,22.668,103,37.019,155,1,0,0,0,6.633333333,6.633333333,0,0.616666667,1,4,82,-2.752707
74,-82,82,1,1,0,106.05,0,-82,1,13,1,1,13,0,82,0,3.091,113,5.004,156,1,0,0,0,6.983333333,6.983333333,0,0.9,1,4,82,-0.693689
74,-82,83,2,0,1,107.2833333,0,-82,1,0,1,1,0,0,82,1,1.455,129,1.312,157,2,0,1,0,0,0,0,0.35,1,4,82,2.797775
75,-83,83,2,1,1,107.6666667,0,-83,1,1,1,1,1,0,83,1,2.21,116,1.4,158,2,0,1,0,0.383333333,0.383333333,0,1.233333333,2,4,83,-0.76111
76,-83,83,2,0,1,108.2333333,0,-83,1,2,1,2,2,0,83,1,5.61,92,6.733,159,2,0,1,0,0.95,0.95,0,0.383333333,2,4,83,1.458298
77,-83,83,2,0,1,108.8833333,0,-83,1,3,1,0,3,0,83,1,4.421,92,3.797,160,2,0,0,0,1.6,1.6,1,0.566666667,2,4,83,-0.568903
77,-83,84,2,0,1,109.5333333,0,-83,0,4,1,2,4,0,83,1,8.514,87,9.279,161,2,0,1,0,2.25,2.25,0,0.65,1,4,83,2.30612
78,-84,84,2,0,1,110.15,0,-84,0,5,1,3,5,0,84,1,11.133,125,11.132,162,2,0,1,0,2.866666667,2.866666667,0,0.65,1,4,84,-0.773784
79,-84,84,3,0,2,110.8833333,0,-84,1,0,1,4,0,0,84,2,16.537,120,19.265,163,3,0,1,0,0,0,0,0.616666667,1,4,84,0.302406
80,-84,84,3,0,2,111.1333333,0,-84,1,1,1,1,1,0,84,2,1.322,108,1.273,164,3,1,0,0,0.25,0.25,0,0.733333333,2,4,84,-1.738492
80,-84,85,3,0,2,111.6833333,0,-84,0,2,1,3,2,1,84,2,12.049,94,13.256,165,3,0,1,0,0.8,0.8,1,0.25,1,4,84,1.333731
80,-85,86,3,0,2,112.1166667,0,-85,1,3,1,2,3,0,85,2,3.179,106,5.273,166,3,0,0,0,1.233333333,1.233333333,0,0.55,2,4,85,0.517799
81,-86,86,3,0,2,112.7,0,-86,1,4,1,0,4,0,86,2,3.84,106,4.613,167,3,0,0,0,1.816666667,1.816666667,0,0.433333333,2,4,86,-2.709852
81,-86,87,3,0,2,113.2666667,0,-86,1,5,1,3,5,0,86,2,12.394,106,14.446,168,3,0,1,0,2.383333333,2.383333333,1,0.583333333,2,4,86,1.009507
82,-87,87,3,0,2,114.2,0,-87,1,6,1,4,6,1,87,2,18.644,106,17.847,169,3,0,1,0,3.316666667,3.316666667,0,0.566666667,1,4,87,-2.490105
82,-87,88,3,1,2,114.55,0,-87,1,7,1,1,7,0,87,2,0.538,106,0.88,170,3,1,0,0,3.666666667,3.666666667,0,0.933333333,2,4,87,0.857897
82,-88,89,3,0,2,115.1833333,0,-88,1,8,1,4,8,0,88,2,8.753,100,10.319,171,3,0,1,0,4.3,4.3,0,0.35,1,4,88,0.478182
82,-89,90,3,1,2,115.6333333,0,-89,0,9,1,2,9,0,89,2,3.309,128,4.254,172,3,0,1,0,4.75,4.75,0,0.633333333,1,4,89,-0.088781
82,-90,91,4,0,2,117.5,1,-90,0,0,1,4,0,0,90,2,14.581,125,15.722,173,4,0,1,1,0,0,0,0.45,1,4,90,1.341987
83,-91,91,4,1,2,117.8166667,1,-91,0,1,1,1,1,0,91,2,0.873,112,0.853,174,4,0,0,1,0.316666667,0.316666667,0,1.866666667,1,4,91,-0.068967
83,-91,92,4,0,2,118.2,1,-91,1,2,1,2,2,0,91,2,5.171,124,3.543,175,4,0,0,1,0.7,0.7,1,0.316666667,1,4,91,2.876835
84,-92,92,4,1,2,118.75,1,-92,0,3,1,5,3,0,92,2,18.557,111,15.284,176,4,0,0,1,1.25,1.25,0,0.383333333,2,4,92,0.338229
85,-92,92,4,0,2,119.65,1,-92,0,4,1,2,4,0,92,2,4.336,98,4.232,177,4,1,1,1,2.15,2.15,0,0.55,2,4,92,-0.715999
85,-92,93,4,0,2,120.6666667,1,-92,1,5,1,8,5,0,92,2,24.623,109,22.308,178,4,0,1,1,3.166666667,3.166666667,1,0.9,2,4,92,2.278353
85,-93,94,4,0,2,121.2,1,-93,1,6,1,1,6,0,93,2,1.591,109,0.93,179,4,0,1,1,3.7,3.7,0,1.016666667,2,4,93,1.526687
85,-94,95,4,1,2,121.6833333,1,-94,1,7,1,1,7,0,94,2,1.284,104,0.998,180,4,0,0,1,4.183333333,4.183333333,0,0.533333333,1,4,94,2.361267
86,-95,95,5,0,2,122.25,2,-95,0,0,1,1,0,0,95,2,4.566,121,4.123,181,5,0,1,2,0,0,0,0.483333333,1,4,95,-2.352796
87,-95,95,5,0,2,122.55,2,-95,0,1,1,1,1,0,95,2,0.562,126,0.653,182,5,1,1,2,0.3,0.3,0,0.566666667,1,4,95,-2.241205
87,-95,96,5,0,2,122.8333333,2,-95,0,2,1,1,2,0,95,2,0.625,128,0.679,183,5,1,1,2,0.583333333,0.583333333,0,0.3,2,4,95,2.515414
87,-96,97,5,0,2,124.0166667,2,-96,0,3,1,2,3,0,96,2,5.496,128,6.611,184,5,0,1,2,1.766666667,1.766666667,0,0.283333333,1,4,96,0.870499
87,-97,98,5,0,2,124.6666667,2,-97,1,4,1,12,4,0,97,2,40.948,98,41.84,185,5,0,1,2,2.416666667,2.416666667,0,1.183333333,2,4,97,-0.260028
88,-98,98,5,1,2,124.9333333,2,-98,1,5,1,2,5,0,98,2,5.976,98,4.666,186,5,0,1,2,2.683333333,2.683333333,0,0.65,1,4,98,-1.93633
89,-98,98,5,0,2,125.4333333,2,-98,1,6,1,1,6,0,98,2,2.533,125,2.116,187,5,0,0,2,3.183333333,3.183333333,0,0.266666667,2,4,98,0.070357
90,-98,98,5,1,2,126.15,2,-98,0,7,1,1,7,1,98,2,4.216,108,5.171,188,5,0,1,2,3.9,3.9,0,0.5,1,4,98,-1.286977
90,-98,99,6,0,3,127.9166667,2,-98,1,0,1,5,0,0,98,3,19.32,129,15.461,189,6,0,1,2,0,0,1,0.716666667,2,4,98,2.286148
90,-99,100,6,1,3,128.7666667,2,-99,0,1,1,9,1,0,99,3,24.76,101,34.231,190,6,0,1,2,0.85,0.85,0,1.766666667,2,4,99,1.774754
90,-100,101,6,1,3,129.2666667,2,-100,1,2,1,1,2,0,100,3,3.135,101,3.503,191,6,0,1,2,1.35,1.35,0,0.85,1,4,100,2.32924
91,-101,101,6,1,3,129.5666667,2,-101,0,3,1,1,3,0,101,3,3.749,125,4.498,192,6,0,0,2,1.65,1.65,0,0.5,2,4,101,0.018909
91,-101,102,6,1,3,130.1666667,2,-101,0,4,1,4,4,1,101,3,11.218,94,11.252,193,6,1,1,2,2.25,2.25,0,0.3,1,4,101,2.716864
92,-102,102,7,0,3,131.15,3,-102,1,0,1,3,0,0,102,3,7.765,124,5.694,194,7,0,1,3,0,0,0,0.6,1,4,102,-2.362802
92,-102,103,7,0,3,131.45,3,-102,1,1,1,1,1,0,102,3,2.088,126,2.885,195,7,0,1,3,0.3,0.3,0,0.983333333,1,4,102,1.140335
93,-103,103,7,0,3,131.8333333,3,-103,1,2,1,2,2,0,103,3,9.15,127,9.857,196,7,0,1,3,0.683333333,0.683333333,0,0.3,2,4,103,-1.533606
94,-103,103,7,0,3,132.2833333,3,-103,1,3,1,1,3,0,103,3,2.95,109,3.684,197,7,0,0,3,1.133333333,1.133333333,0,0.383333333,1,4,103,-0.477094
95,-103,103,7,0,3,132.9,3,-103,1,4,1,1,4,0,103,3,1.615,123,2.061,198,7,0,1,3,1.75,1.75,0,0.45,2,4,103,-0.25995
95,-103,104,8,0,4,134.6833333,3,-103,1,0,1,1,0,0,103,4,4.524,109,4.116,199,8,0,1,3,0,0,0,0.616666667,1,4,103,3.454892
95,-104,105,8,1,4,135,3,-104,1,1,1,1,1,0,104,4,1.228,126,1.221,200,8,0,1,3,0.316666667,0.316666667,0,1.783333333,2,4,104,1.965737
95,-105,106,8,1,4,136.0166667,3,-105,0,2,1,11,2,0,105,4,42.915,97,41.96,201,8,0,1,3,1.333333333,1.333333333,0,0.316666667,1,4,105,2.900901
95,-106,107,8,1,4,136.35,3,-106,1,3,1,1,3,0,106,4,4.674,113,5.163,202,8,0,0,3,1.666666667,1.666666667,0,1.016666667,2,4,106,2.249606
95,-107,108,9,0,4,137.35,4,-107,0,0,1,3,0,1,107,4,7.828,94,6.235,203,9,0,1,4,0,0,0,0.333333333,1,4,107,0.444474
96,-108,108,9,1,4,137.85,4,-108,0,1,1,4,1,0,108,4,23.351,125,8.307,204,9,0,0,4,0.5,0.5,0,1,2,4,108,-0.886264
97,-108,108,9,0,4,138.5833333,4,-108,1,2,1,1,2,1,108,4,5.914,110,5.698,205,9,0,0,4,1.233333333,1.233333333,0,0.5,1,4,108,-0.319212
